side,mode,entry_time,exit_time,entry_idx,exit_idx,entry,exit,stop,target,qty,leverage,risk_cash,risk_pct,stop_pct,pnl_per_unit,pnl_cash,pnl_pct_on_cash,exit_reason,pattern_key,tl_kind,setup_role,anchor0_idx,anchor0_price,anchor1_idx,anchor1_price,parallel0_idx,parallel0_price,low_anchor0_idx,low_anchor0_price,low_anchor1_idx,low_anchor1_price,low_slope,corrective_from_idx,corrective_from_price,corrective_to_idx,corrective_to_price,slope,breakout_idx
long,bounce,2026-06-25 12:30:00,2026-06-25 12:45:00,3357,3360,219.39999389648438,218.03130858443413,218.03130858443413,228.79491388549803,365.31406861597446,0.8014990442464467,500.00000000000006,0.005000000000000001,0.006238310620446092,-1.3686853120502462,-500.00000000000006,-0.005000000000000001,stop,"('bearish_high_tl', 2802, 2813, 2821)",bearish_high_tl,,2802,228.6999969482422,2821,228.39999389648438,2813,227.0,,,,,,2813,227.0,2821,228.39999389648438,-0.015789634303042765,
long,bounce,2026-06-25 16:45:00,2026-06-26 10:00:00,3408,3424,215.3000030517578,219.16190962839596,212.72539866733237,219.16190962839596,194.20459431540272,0.41812249748771596,500.0,0.005,0.011958218058206484,3.861906576638148,749.9999999999973,0.007499999999999973,target,"('bearish_high_tl', 3332, 3381, 3393)",bearish_high_tl,,3332,222.6999969482422,3393,217.10000610351562,3381,215.5,,,,,,3381,215.5,3393,217.10000610351562,-0.09180312860207479,
long,bounce,2026-06-26 10:10:00,2026-06-30 15:55:00,3426,3689,217.6999969482422,226.19186304626464,216.90218943678912,226.19186304626464,626.7175889198309,1.364364171952569,499.99999999999994,0.004999999999999999,0.003664710714914479,8.491866098022456,5322.0018463826855,0.05322001846382685,target,"('bearish_high_tl', 3035, 3045, 3052)",bearish_high_tl,,3035,226.10000610351562,3052,225.8000030517578,3045,224.0,,,,,,3045,224.0,3052,225.8000030517578,-0.017647238338694853,
long,bounce,2026-07-02 10:20:00,2026-07-02 11:30:00,3816,3830,236.1999969482422,238.85833002220602,234.42777489893297,238.85833002220602,282.13168896916204,0.6663950407351849,500.00000000000006,0.005000000000000001,0.007503057037285071,2.6583330739638313,750.0000000000001,0.0075000000000000015,target,"('bearish_high_tl', 3786, 3797, 3803)",bearish_high_tl,,3786,238.6999969482422,3803,237.89999389648438,3797,235.6999969482422,,,,,,3797,235.6999969482422,3803,237.89999389648438,-0.047059003044577205,
long,bounce,2026-07-02 14:50:00,2026-07-02 15:20:00,3870,3876,240.1999969482422,238.4676491607666,238.4676491607666,242.79851862945557,288.62564642900577,0.6932787939143162,499.99999999999994,0.004999999999999999,0.007212105784701039,-1.7323477874755895,-499.99999999999994,-0.004999999999999999,stop,"('bearish_high_tl', 3833, 3848, 3854)",bearish_high_tl,,3833,241.5,3854,241.10000610351562,3848,239.3000030517578,,,,,,3848,239.3000030517578,3854,241.10000610351562,-0.019047328404017856,
long,bounce,2026-07-02 15:45:00,2026-07-03 13:05:00,3881,3946,239.89999389648438,243.51529273703437,237.48979466945104,243.51529273703437,207.45173029344988,0.4976766883121375,500.0,0.005,0.01004668315278624,3.615298840549997,750.0,0.0075,target,"('bearish_high_tl', 3854, 3861, 3868)",bearish_high_tl,,3854,241.10000610351562,3868,240.60000610351562,3861,238.60000610351562,,,,,,3861,238.60000610351562,3868,240.60000610351562,-0.03571428571428571,
long,bounce,2026-07-07 13:45:00,2026-07-07 17:00:00,4148,4187,253.25,258.80877499999997,249.54415,258.80877499999997,134.921812809477,0.34168949094000045,500.00000000000006,0.005000000000000001,0.014633168805528127,5.558774999999969,749.9999999999962,0.007499999999999962,target,"('bearish_high_tl', 4117, 4123, 4137)",bearish_high_tl,,4117,255.5,4137,254.25,4123,251.5,,,,,,4123,251.5,4137,254.25,-0.0625,
long,bounce,2026-07-08 12:05:00,2026-07-08 13:05:00,4225,4237,260.75,258.6135333333333,258.6135333333333,264.4698,234.03126657721037,0.6102365276000761,500.0,0.005,0.008193544263343074,-2.1364666666667063,-500.0,-0.005,stop,"('bearish_high_tl', 4200, 4214, 4215)",bearish_high_tl,,4200,265.75,4215,264.0,4214,260.25,,,,,,4214,260.25,4215,264.0,-0.11666666666666667,
long,breakout,2026-07-08 17:20:00,2026-07-09 16:00:00,4288,4369,260.0,263.325,254.782,263.325,95.82215408202396,0.2491376006132623,500.0,0.005,0.020069230769230728,3.3249999999999886,318.60866232272855,0.0031860866232272856,target,"('structure_long_breakout', 4215, 4240, 4260, 4279)",bearish_high_tl,structure_long_breakout,4215,264.0,4260,260.0,4240,255.25,4240.0,255.25,4279.0,259.0,0.09615384615384616,4240,255.25,4279,259.0,-0.08888888888888889,4271.0
long,bounce,2026-07-10 13:00:00,2026-07-13 09:55:00,4430,4490,265.25,270.4126035714286,261.8082642857143,270.4126035714286,145.2755358073072,0.3853433587288823,500.0,0.005,0.012975440958664274,5.162603571428576,750.0000000000041,0.007500000000000041,target,"('bearish_high_tl', 4398, 4405, 4412)",bearish_high_tl,,4398,268.25,4412,267.25,4405,264.0,,,,,,4405,264.0,4412,267.25,-0.07142857142857142,
long,bounce,2026-07-13 17:35:00,2026-07-16 10:00:00,4582,4685,268.75,275.38841153846147,264.32439230769234,275.38841153846147,112.97883471891805,0.30363061830709226,500.0,0.005,0.016467377459749452,6.638411538461469,749.9999999999968,0.0074999999999999685,target,"('bearish_high_tl', 4545, 4559, 4571)",bearish_high_tl,,4545,271.5,4571,269.5,4559,266.5,,,,,,4559,266.5,4571,269.5,-0.07692307692307693,
long,bounce,2026-07-17 13:55:00,2026-07-20 09:55:00,4829,4878,284.75,290.4301153225806,280.96325645161295,290.4301153225806,132.03957268586967,0.37598268322301387,500.00000000000006,0.005000000000000001,0.01329848480557349,5.680115322580605,750.0000000000039,0.007500000000000039,target,"('bearish_high_tl', 4787, 4806, 4818)",bearish_high_tl,,4787,288.5,4818,286.0,4806,283.25,,,,,,4806,283.25,4818,286.0,-0.08064516129032258,
long,bounce,2026-07-20 14:55:00,2026-07-20 15:40:00,4938,4947,304.75,307.3612865384615,303.00914230769234,307.3612865384615,287.2147460469368,0.8752869385780399,500.00000000000006,0.005000000000000001,0.005712412443995592,2.6112865384615134,750.0000000000082,0.007500000000000082,target,"('bearish_high_tl', 4912, 4922, 4925)",bearish_high_tl,,4912,307.75,4925,306.5,4922,305.0,,,,,,4922,305.0,4925,306.5,-0.09615384615384616,
long,bounce,2026-07-21 10:05:00,2026-07-21 12:45:00,4977,5009,306.5,310.55254999999994,303.79830000000004,310.55254999999994,185.06866047303822,0.5672354443498622,499.99999999999994,0.004999999999999999,0.008814681892332659,4.05254999999994,749.9999999999999,0.007499999999999999,target,"('bearish_high_tl', 4947, 4953, 4962)",bearish_high_tl,,4947,308.0,4962,307.25,4953,305.5,,,,,,4953,305.5,4962,307.25,-0.05,
long,bounce,2026-07-22 11:10:00,2026-07-22 16:40:00,5087,5153,310.25,315.962675,306.44155,315.962675,131.28700652496445,0.40731793774370223,500.0,0.005,0.01227542304593068,5.71267499999999,750.0,0.0075,target,"('bearish_high_tl', 5027, 5044, 5048)",bearish_high_tl,,5027,312.0,5048,311.75,5044,307.5,,,,,,5044,307.5,5048,311.75,-0.011904761904761904,
